user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Should statements
D0700	8	0	159	0	1	30	1	10	1	5	16
D1023	55	2	483	1	9	33	0	34	8	16	106
D0753	16	0	289	0	1	79	0	20	2	1	29
D0573	18	0	261	1	0	40	0	19	2	7	33
D1164	37	0	381	0	9	36	0	10	4	14	45
D0824	28	1	230	0	5	13	0	36	3	12	29
D0699	13	2	162	0	4	18	1	11	3	4	52
D0777	28	1	400	0	2	24	0	44	13	14	80
D1171	1	0	8	0	1	0	0	0	0	0	1
D0975	45	2	456	0	6	34	0	25	1	26	114
D0752	44	3	516	0	3	28	0	19	12	4	190
D1211	67	0	299	0	3	27	0	41	10	9	96
D0735	103	0	525	1	7	61	0	44	3	31	103
D1101	27	0	343	0	1	37	0	27	16	7	57
D0622	29	0	380	2	6	27	0	25	2	14	60
D1133	2	0	16	0	0	4	0	1	0	0	0
D0800	12	0	131	0	3	15	0	13	0	8	28
D0964	14	0	251	0	1	35	0	18	2	4	44
D0927	23	0	242	0	3	21	0	7	4	6	53
D1147	0	0	2	0	0	0	0	0	0	0	1
D0465	141	2	610	0	23	61	0	68	15	13	263
D0763	62	0	350	0	2	37	0	54	4	15	76
D1060	62	0	567	1	4	85	0	68	4	17	107
D0684	2	0	46	0	0	8	0	6	0	0	9
D0939	6	0	114	0	0	4	0	7	1	4	15
D1068	37	1	359	0	8	33	0	34	2	16	60
D1198	1	0	17	0	0	3	0	1	0	0	4
D1118	6	0	40	0	0	3	0	3	0	3	7
D0932	23	1	170	0	2	29	0	9	2	6	77
D0527	45	1	411	0	4	51	0	33	2	18	40
D0711	31	0	337	0	1	55	0	25	6	12	74
D0698	0	0	5	0	0	0	0	0	0	0	2
D0180	3	0	17	0	0	1	0	1	0	0	9
D1138	35	0	451	1	5	47	0	42	9	22	85
D0973	61	1	401	0	9	34	0	45	10	18	82
D0568	62	0	530	0	8	23	0	38	3	14	77
D1030	16	1	169	0	0	10	0	5	0	6	34
D1189	51	0	432	0	1	71	0	20	5	12	73
