user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
D0700	16	0	159	1	1	30	1	10	2	8	19	16
D1023	78	2	483	3	9	33	0	34	11	24	52	106
D0753	29	0	289	1	1	79	1	20	6	4	35	29
D0573	37	0	261	3	0	40	0	19	3	16	13	33
D1164	56	0	381	1	9	36	1	10	9	26	15	45
D0824	32	1	230	1	5	13	1	36	8	16	18	29
D0699	27	2	162	2	4	18	3	11	6	12	15	52
D0777	53	1	400	3	2	24	1	44	17	18	53	80
D1171	2	0	8	0	1	0	0	0	0	0	0	1
D0975	74	2	456	6	6	34	0	25	12	39	133	114
D0752	51	3	516	0	3	28	0	19	14	6	9	190
D1211	80	0	299	0	3	27	0	41	19	9	39	96
D0735	118	0	525	4	7	61	0	44	14	44	16	103
D1101	35	0	343	0	1	37	0	27	18	12	24	57
D0622	43	0	380	7	6	27	0	25	5	21	25	60
D1133	3	0	16	0	0	4	0	1	0	0	0	0
D0800	20	0	131	0	3	15	1	13	2	10	15	28
D0964	16	0	251	1	1	35	1	18	6	10	12	44
D0927	31	0	242	0	3	21	0	7	5	11	10	53
D1147	0	0	2	0	0	0	0	0	0	0	0	1
D0465	167	2	610	0	23	61	1	68	19	17	17	263
D0763	71	0	350	2	2	37	1	54	9	17	11	76
D1060	89	0	567	3	4	85	1	68	11	25	31	107
D0684	4	0	46	1	0	8	0	6	0	0	4	9
D0939	7	0	114	0	0	4	0	7	6	7	1	15
D1068	50	1	359	5	8	33	0	34	3	22	5	60
D1198	2	0	17	0	0	3	1	1	0	0	2	4
D1118	7	0	40	0	0	3	0	3	0	5	1	7
D0932	33	1	170	1	2	29	0	9	3	7	9	77
D0527	59	1	411	1	4	51	0	33	4	33	32	40
D0711	48	0	337	1	1	55	0	25	7	17	18	74
D0698	0	0	5	0	0	0	0	0	0	0	0	2
D0180	5	0	17	0	0	1	0	1	0	0	0	9
D1138	54	0	451	3	5	47	0	42	13	30	51	85
D0973	100	1	401	0	9	34	0	45	15	33	27	82
D0568	97	0	530	2	8	23	1	38	7	29	34	77
D1030	23	1	169	0	0	10	0	5	4	11	9	34
D1189	66	0	432	0	1	71	0	20	8	16	42	73
D0675	44	0	203	4	13	14	1	20	9	18	15	30
D0778	18	0	199	0	0	20	0	4	2	7	7	40
D0783	51	0	272	1	3	31	0	18	3	10	7	57
D0745	0	0	21	0	1	2	0	1	0	0	0	2
D0453	38	1	227	1	1	19	0	21	12	3	11	83
D1041	23	1	157	1	4	28	0	6	5	8	10	33
D0509	44	0	549	0	0	41	0	76	21	6	5	99
D0629	28	0	200	0	1	23	0	13	7	13	24	28
D0733	84	5	685	1	2	88	4	85	16	23	19	113
D0771	7	0	113	0	0	13	0	3	9	2	3	43
D0534	111	0	535	1	0	42	4	20	12	24	47	119
D0912	54	0	466	0	3	41	1	40	6	22	18	80
D0802	21	0	268	0	8	33	1	13	3	21	10	30
D0513	24	0	277	0	1	55	0	21	4	6	14	49
D1170	110	1	396	1	7	53	1	60	12	33	41	125
D0899	42	0	159	0	1	32	0	18	2	12	4	58
D0617	20	0	228	0	2	40	0	20	6	14	4	35
D0710	22	0	225	0	3	59	0	48	2	6	1	81
D1056	7	0	62	0	1	3	0	9	2	1	6	23
D0525	57	1	313	0	3	39	0	33	5	13	6	90
D1172	9	0	124	1	4	12	0	8	1	14	8	19
D0612	35	0	399	0	2	37	0	37	14	5	7	54
D0721	14	0	82	0	0	11	0	20	1	3	0	22
D0535	4	0	20	0	0	1	0	1	0	3	2	5
D0595	2	0	8	0	0	0	0	0	0	0	2	0
D1151	45	2	217	0	2	27	1	10	7	20	18	54
D0762	8	0	29	0	1	3	0	4	4	3	0	11
D1074	45	7	353	0	4	28	0	48	16	8	16	29
D1152	6	0	63	0	0	6	0	11	1	5	3	15
D1160	0	0	5	0	0	0	0	1	0	0	0	0
D1188	77	1	467	1	1	68	0	52	7	11	33	75
D0999	41	0	288	1	3	60	0	3	1	7	10	37
D0860	22	0	443	3	6	50	0	28	11	14	32	59
D0989	37	0	208	1	3	29	0	41	5	18	5	48
D1153	12	0	58	0	0	7	0	2	1	3	2	10
D1034	28	1	163	0	1	22	0	14	9	11	15	47
D1083	8	0	41	0	0	11	0	4	3	4	1	10
D0755	33	1	220	0	5	13	0	0	2	8	2	61
D0884	0	0	0	0	0	0	0	0	0	0	0	1
D1063	47	0	249	1	2	40	0	11	5	7	20	40
D0914	54	7	363	0	2	65	0	69	4	19	8	70
D0565	44	0	330	2	6	46	1	20	5	21	38	59
D1049	1	0	10	0	1	1	0	0	0	0	0	3
D0653	86	0	308	4	8	41	0	15	4	36	21	62
D0917	65	0	229	1	1	18	0	21	9	17	12	63
D0139	121	2	462	2	14	37	0	25	4	27	26	191
D0521	28	1	279	0	1	22	0	46	6	4	6	65
D0560	26	0	212	3	1	49	0	8	2	13	6	28
D0965	32	2	147	0	3	8	0	18	7	6	1	72
D0803	31	0	321	1	3	15	0	28	5	5	25	23
D0902	12	0	120	0	0	25	0	5	0	2	3	27
D0495	39	1	242	0	2	26	0	20	5	5	16	51
D0601	47	1	417	0	5	23	0	32	6	31	45	60
D1122	7	0	69	0	1	11	0	14	0	4	7	11
D1148	14	0	123	1	3	10	0	11	4	4	5	30
D0640	83	1	447	0	4	73	1	22	3	20	26	72
D1104	0	0	9	0	0	3	0	0	0	0	0	6
D0974	34	1	307	3	0	41	0	15	23	31	7	44
D0958	74	2	576	2	4	53	1	53	12	18	59	118
D0872	73	1	461	0	7	45	1	38	13	20	15	94
D0790	7	0	58	0	0	9	0	13	0	1	4	22
D0637	40	0	196	1	4	19	0	18	2	5	6	37
D0715	48	1	330	1	3	32	0	26	2	17	15	29
D0734	15	0	143	0	2	12	0	13	0	8	6	31
D0864	21	0	153	0	3	20	0	16	6	7	8	44
D0651	78	0	575	4	15	39	0	29	10	34	17	114
D0630	71	1	514	0	3	51	2	40	10	35	25	106
D1111	28	1	121	0	1	28	0	3	2	5	2	17
D0633	47	0	221	2	2	14	1	20	12	12	12	27
D0691	0	0	0	0	0	0	0	0	0	0	0	0
D0669	52	0	395	0	1	76	0	25	9	31	4	44
D0519	119	1	429	2	10	46	1	32	2	21	17	127
D0717	2	0	26	0	0	4	0	2	0	1	1	1
D0747	44	0	250	1	3	21	0	39	23	28	35	52
D1026	16	0	199	0	0	39	1	12	3	10	1	18
D0487	43	0	210	0	5	18	0	13	2	9	7	31
D0666	67	0	346	2	7	30	0	12	4	20	16	79
D1059	57	0	472	1	5	34	0	32	15	27	37	61
D0749	86	0	261	2	10	39	0	20	7	12	23	81
D1033	30	0	203	0	3	44	0	12	1	4	2	15
D0773	15	0	108	0	0	16	0	8	0	2	5	11
D0834	7	0	86	0	2	10	0	1	0	3	11	13
D1146	9	0	50	0	0	3	0	4	2	2	3	7
D0526	80	0	325	1	0	28	1	23	7	5	8	71
D0712	28	0	192	1	2	36	0	11	1	5	12	31
D0725	37	0	277	0	5	28	0	24	2	11	0	42
D0369	30	0	182	0	1	25	0	7	5	8	5	53
D0772	11	0	75	1	1	8	0	7	1	7	4	6
D0582	62	1	366	0	5	67	0	26	8	6	1	52
D1187	143	1	569	9	12	41	1	82	13	46	48	98
D0799	12	0	92	0	1	21	0	4	0	4	12	15
D0830	45	0	374	0	2	84	1	18	9	13	13	68
D0977	35	0	304	2	4	25	0	12	8	11	7	35
D0992	27	0	173	0	4	32	0	23	1	11	8	43
D0609	6	0	99	0	2	18	0	5	1	3	0	18
D1046	75	1	386	3	4	32	0	12	21	15	37	97
D0911	15	0	187	3	2	24	0	5	1	8	8	24
D0635	13	0	109	0	0	9	2	10	2	5	4	22
D0023	49	1	517	1	2	92	2	24	12	45	43	69
D0654	122	0	631	6	8	56	2	35	8	39	43	126
D0971	15	0	126	0	0	22	0	4	2	2	0	19
D0561	27	0	333	1	0	84	0	25	6	18	5	37
D1184	34	2	454	1	3	115	0	18	19	9	5	83
D1195	49	0	328	1	4	39	1	12	7	24	16	59
D0553	45	0	190	0	1	30	0	5	11	6	13	32
D1018	22	0	200	0	0	15	2	13	7	7	6	27
D0436	20	1	100	1	0	12	0	12	5	9	10	39
D1091	2	0	23	0	0	0	0	3	0	0	0	4
D0709	12	0	173	0	2	16	0	14	9	17	4	40
D0905	25	0	266	0	0	27	0	36	6	6	2	53
D0623	71	2	414	1	3	35	0	18	5	19	18	95
D0542	3	0	50	0	0	6	0	5	1	2	4	13
D0789	25	0	267	0	1	30	0	20	4	7	15	23
D0952	47	0	366	2	7	35	2	30	5	13	31	55
D0694	13	0	118	0	0	31	0	8	4	14	4	24
D1176	39	0	148	0	1	28	0	12	0	11	7	15
D0842	19	0	133	1	2	19	0	11	3	6	10	19
D0480	31	2	298	0	1	46	1	9	9	9	10	45
D1070	7	0	82	0	1	21	0	6	3	1	3	13
