user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
R0002	0	0	11	0	0	1	0	0	0	0	0	2
R0003	6	0	16	0	4	6	0	3	1	0	0	9
R0004	12	0	178	0	0	169	0	22	0	1	0	131
R0005	37	0	356	1	5	46	0	26	7	19	35	97
R0006	11	0	164	0	0	34	0	20	10	4	0	17
R0007	0	0	14	0	0	4	1	1	0	0	0	2
R0008	0	0	3	0	0	0	0	1	0	0	0	0
R0009	0	0	0	0	0	0	0	0	0	0	0	0
R0010	7	0	271	0	2	29	1	19	0	20	17	86
R0011	3	0	16	0	0	0	0	2	0	0	0	4
R0012	24	0	151	0	2	36	0	17	8	8	5	26
R0013	3	0	20	0	0	2	0	1	0	1	1	8
R0014	44	0	438	0	0	97	1	45	7	15	6	67
R0015	0	0	0	0	0	0	0	0	0	0	0	0
R0016	1	0	5	0	0	2	0	0	0	0	0	2
R0017	0	0	0	0	0	0	0	0	0	0	0	0
R0018	0	0	0	0	0	0	0	0	0	0	0	0
R0019	56	1	399	1	6	41	0	30	17	43	69	98
R0020	54	0	352	4	11	39	0	28	10	12	18	68
R0021	21	0	106	0	0	36	0	3	0	0	0	53
R0022	1	0	72	0	1	7	0	3	3	0	2	6
R0023	0	0	0	0	0	0	0	0	0	0	0	0
R0024	0	0	2	0	0	0	0	0	0	0	0	0
R0025	73	1	470	0	0	56	1	30	5	21	4	66
R0026	10	0	133	0	2	13	0	2	4	12	7	9
R0027	78	2	475	2	4	46	0	28	3	51	15	55
R0028	52	1	181	0	2	17	0	21	9	9	1	87
R0029	10	0	83	0	2	19	0	2	1	17	4	9
R0030	5	0	37	0	0	1	0	5	1	2	2	6
R0031	4	0	38	1	0	8	0	4	1	4	1	8
R0032	1	0	6	0	0	0	0	0	0	1	0	0
R0033	29	1	146	0	7	19	0	3	11	0	4	73
R0034	0	0	3	0	0	0	0	0	0	0	0	0
R0035	24	0	137	1	0	12	0	36	4	11	6	36
R0036	18	0	228	1	0	23	0	18	0	15	15	33
R0037	6	0	15	0	0	3	0	1	0	0	0	0
R0038	26	1	360	0	2	20	3	21	4	3	3	57
R0039	0	0	0	0	0	0	0	0	0	0	0	0
R0041	49	0	460	2	2	34	0	31	7	18	34	68
R0042	48	1	173	0	3	28	0	33	3	8	8	73
R0043	7	1	119	0	0	49	0	6	1	0	0	5
R0044	27	1	89	0	1	7	1	2	3	8	10	28
R0045	0	0	0	0	0	0	0	0	0	0	0	0
R0046	43	1	264	0	2	38	0	9	4	16	9	26
R0047	7	0	48	0	0	6	0	2	1	2	1	21
R0048	37	1	248	0	2	33	1	12	4	14	17	28
R0049	1	0	2	0	0	0	0	0	0	0	0	1
R0050	3	0	119	0	1	11	0	9	8	7	2	24
R0051	23	0	159	0	5	47	0	7	3	2	3	24
R0052	3	0	40	0	0	4	0	6	1	0	0	7
R0053	0	0	0	0	0	0	0	1	0	0	0	0
R0054	1	0	33	0	2	2	1	1	0	0	0	1
R0055	0	0	21	0	0	1	0	0	0	1	0	2
R0056	1	0	6	0	0	1	0	0	0	0	1	0
R0057	15	0	161	1	0	21	0	15	2	14	14	27
R0058	0	0	1	0	0	0	0	0	0	0	0	0
R0059	0	0	0	0	0	0	0	0	0	0	0	0
R0060	4	0	159	0	0	33	0	33	0	2	4	29
R0061	6	0	112	1	0	14	0	5	0	7	5	14
R0062	1	0	2	0	0	0	0	0	0	0	0	0
R0063	63	1	438	3	7	69	0	30	12	19	36	65
R0064	57	1	630	2	8	73	1	39	5	19	21	87
R0065	8	0	12	0	0	4	0	0	0	0	0	0
R0066	0	0	3	0	0	2	0	0	0	0	2	0
R0067	46	2	459	2	0	84	1	47	15	30	47	48
R0068	20	0	38	0	1	3	0	4	1	1	1	3
R0069	0	0	0	0	0	0	0	0	0	0	0	0
R0070	133	5	496	0	8	45	0	84	35	8	11	143
R0071	123	0	231	0	0	49	0	69	50	0	0	32
R0072	33	0	311	0	2	23	0	18	9	12	14	17
R0073	0	0	4	0	0	1	0	1	0	0	0	0
R0074	23	0	209	2	2	12	2	24	11	13	18	71
R0075	0	0	0	0	0	0	0	0	0	0	0	0
R0076	2	0	1136	0	0	78	0	83	8	9	32	165
R0077	0	0	0	0	0	0	0	0	0	0	0	0
R0078	35	1	425	3	10	69	1	24	11	16	26	42
R0079	50	0	196	1	3	18	3	17	1	9	4	44
R0080	0	0	0	0	0	0	0	0	0	0	0	1
R0081	7	0	62	0	1	11	0	7	0	2	1	10
R0082	32	0	382	0	0	105	0	10	11	14	3	92
R0083	55	3	496	0	5	49	2	71	31	12	3	130
R0084	1	0	0	0	0	0	0	0	0	0	0	0
R0085	0	0	48	0	1	23	0	2	1	1	0	0
R0086	21	0	216	1	1	19	1	10	3	20	5	25
R0087	0	0	0	0	0	0	0	0	0	0	0	0
R0088	22	0	59	0	0	8	1	1	1	6	0	15
R0089	30	0	205	1	5	33	0	16	5	5	9	32
R0090	10	0	90	0	0	8	0	2	0	5	7	13
R0091	45	2	180	0	2	22	0	77	3	2	2	89
R0092	84	0	515	1	10	81	1	35	20	43	55	127
R0093	16	0	61	0	0	9	1	8	1	1	1	9
R0095	5	0	25	0	1	1	0	1	1	1	0	5
R0096	43	0	275	0	1	25	0	20	3	27	4	48
R0097	0	0	4	0	0	1	0	0	0	1	0	1
R0098	1	0	34	0	0	0	0	0	0	1	0	0
R0099	8	0	34	0	3	9	0	0	0	1	0	10
R0100	59	0	241	0	2	23	0	30	9	22	3	75
R0101	23	0	172	0	0	20	0	15	3	13	4	37
R0102	1	0	0	0	0	0	0	0	0	0	0	0
R0103	1	0	3	0	0	3	0	0	0	0	0	0
R0104	56	2	575	0	13	53	1	36	16	14	10	134
R0105	33	0	158	0	0	29	0	14	5	3	0	72
R0106	2	0	18	0	0	1	0	1	0	0	0	1
R0107	50	0	180	1	1	13	1	29	1	15	2	60
R0108	66	0	373	0	0	54	1	9	5	7	4	76
R0109	2	0	43	0	0	10	0	1	1	0	2	0
R0110	9	4	82	0	1	7	0	5	10	1	1	23
R0111	0	0	18	0	0	4	0	1	0	0	0	7
R0112	1	0	1	0	0	0	0	0	0	0	0	0
R0113	0	0	0	0	0	0	0	0	0	0	0	0
R0114	10	0	29	0	0	14	0	1	0	2	0	13
R0115	0	0	0	0	0	0	0	0	0	0	0	0
R0117	0	0	6	0	0	1	0	0	0	0	0	5
R0118	0	0	8	0	0	4	0	0	0	0	0	1
R0119	0	0	18	0	0	2	0	1	1	1	1	0
R0120	5	1	43	0	1	7	0	0	0	2	1	6
R0121	16	0	137	1	1	10	0	8	7	2	3	65
R0122	3	0	26	0	0	3	0	3	0	0	0	2
R0123	0	0	0	0	0	0	0	0	0	0	0	0
R0124	3	0	14	0	0	2	0	1	0	0	0	5
R0125	0	0	3	0	0	0	0	0	0	0	0	0
R0126	14	1	70	0	0	7	0	3	3	2	0	16
R0127	3	0	15	0	0	4	0	1	0	0	1	1
R0128	62	0	313	0	4	13	0	22	5	20	3	80
R0129	10	3	114	0	0	11	0	12	3	6	9	32
R0130	0	0	6	0	0	0	0	0	0	0	0	0
R0131	73	0	325	0	3	39	0	27	10	20	11	101
R0132	36	0	300	1	0	69	1	30	3	5	25	43
R0133	31	0	357	0	3	21	0	24	3	13	15	36
R0134	0	0	0	0	0	0	0	0	0	0	0	0
R0135	11	0	169	0	0	18	0	3	0	8	5	21
R0136	1	0	27	0	0	21	0	1	0	0	0	8
R0137	30	1	228	1	5	16	0	16	4	17	17	34
R0138	68	0	184	0	0	23	1	20	5	16	4	58
R0139	88	0	375	1	9	64	0	11	8	13	8	114
R0140	5	0	84	0	0	13	0	6	0	7	3	7
R0141	18	1	142	1	20	17	0	6	5	5	13	40
R0142	0	0	1	0	0	1	0	0	0	0	0	0
R0143	8	0	48	1	6	2	0	1	2	3	2	5
R0145	0	0	10	0	0	0	0	0	0	1	1	0
R0146	3	0	19	0	1	0	0	0	1	2	2	3
R0147	0	0	1	0	0	0	0	0	0	0	0	0
R0149	2	0	7	0	0	0	0	1	0	0	1	3
R0150	0	0	10	0	0	0	0	0	0	0	2	0
R0151	59	1	354	4	4	44	1	27	2	11	61	92
R0152	36	0	260	1	4	25	1	16	6	7	14	67
R0153	0	0	1	0	0	0	0	0	0	0	0	4
R0154	2	0	33	0	0	5	0	3	0	3	1	4
R0155	24	0	68	0	1	8	0	12	1	3	0	13
R0156	9	0	41	0	1	5	0	2	1	1	0	10
R0157	115	0	722	1	5	160	0	59	11	55	25	93
R0158	53	2	303	0	6	47	1	22	2	14	23	68
R0159	35	1	181	1	2	46	0	9	3	5	6	49
R0160	119	2	639	0	4	169	0	36	21	26	17	138
R0161	33	3	324	0	1	24	0	63	13	6	4	63
R0162	1	1	73	0	0	6	0	3	0	0	1	10
R0163	1	0	13	0	0	1	0	6	1	1	2	2
R0164	3	0	70	1	1	1	0	6	1	2	6	13
R0165	64	1	316	0	5	26	1	64	12	13	2	115
R0167	29	0	209	0	2	23	0	17	5	10	5	45
R0168	73	1	688	0	1	44	0	41	11	29	9	164
