user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Should statements
R0002	0	0	11	0	0	1	0	0	0	0	2
R0003	6	0	16	0	4	6	0	3	1	0	9
R0004	12	0	178	0	0	169	0	22	0	1	131
R0005	25	0	356	0	5	46	0	26	2	12	97
R0006	8	0	164	0	0	34	0	20	6	1	17
R0007	0	0	14	0	0	4	0	1	0	0	2
R0008	0	0	3	0	0	0	0	1	0	0	0
R0009	0	0	0	0	0	0	0	0	0	0	0
R0010	5	0	271	0	2	29	1	19	0	20	86
R0011	0	0	16	0	0	0	0	2	0	0	4
R0012	16	0	151	0	2	36	0	17	3	6	26
R0013	2	0	20	0	0	2	0	1	0	1	8
R0014	30	0	438	0	0	97	0	45	4	7	67
R0015	0	0	0	0	0	0	0	0	0	0	0
R0016	1	0	5	0	0	2	0	0	0	0	2
R0017	0	0	0	0	0	0	0	0	0	0	0
R0018	0	0	0	0	0	0	0	0	0	0	0
R0019	33	1	399	0	6	41	0	30	12	32	98
R0020	40	0	352	0	11	39	0	28	1	9	68
R0021	21	0	106	0	0	36	0	3	0	0	53
R0022	1	0	72	0	1	7	0	3	1	0	6
R0023	0	0	0	0	0	0	0	0	0	0	0
R0024	0	0	2	0	0	0	0	0	0	0	0
R0025	65	1	470	0	0	56	1	30	5	17	66
R0026	5	0	133	0	2	13	0	2	1	4	9
R0027	50	2	475	1	4	46	0	28	1	26	55
R0028	46	1	181	0	2	17	0	21	6	9	87
R0029	4	0	83	0	2	19	0	2	0	6	9
R0030	5	0	37	0	0	1	0	5	0	0	6
R0031	1	0	38	0	0	8	0	4	0	2	8
R0032	1	0	6	0	0	0	0	0	0	0	0
R0033	22	1	146	0	7	19	0	3	3	0	73
R0034	0	0	3	0	0	0	0	0	0	0	0
R0035	16	0	137	0	0	12	0	36	0	9	36
R0036	10	0	228	0	0	23	0	18	0	11	33
R0037	6	0	15	0	0	3	0	1	0	0	0
R0038	15	1	360	0	2	20	0	21	3	3	57
R0039	0	0	0	0	0	0	0	0	0	0	0
R0041	34	0	460	0	2	34	0	31	2	11	68
R0042	36	1	173	0	3	28	0	33	2	5	73
R0043	6	1	119	0	0	49	0	6	0	0	5
R0044	18	1	89	0	1	7	0	2	2	6	28
R0045	0	0	0	0	0	0	0	0	0	0	0
R0046	32	1	264	0	2	38	0	9	1	11	26
R0047	6	0	48	0	0	6	0	2	1	0	21
R0048	28	1	248	0	2	33	0	12	2	12	28
R0049	1	0	2	0	0	0	0	0	0	0	1
R0050	3	0	119	0	1	11	0	9	3	6	24
R0051	22	0	159	0	5	47	0	7	3	2	24
R0052	3	0	40	0	0	4	0	6	1	0	7
R0053	0	0	0	0	0	0	0	1	0	0	0
R0054	1	0	33	0	2	2	1	1	0	0	1
R0055	0	0	21	0	0	1	0	0	0	1	2
R0056	1	0	6	0	0	1	0	0	0	0	0
R0057	8	0	161	0	0	21	0	15	2	6	27
R0058	0	0	1	0	0	0	0	0	0	0	0
R0059	0	0	0	0	0	0	0	0	0	0	0
R0060	3	0	159	0	0	33	0	33	0	1	29
R0061	4	0	112	0	0	14	0	5	0	4	14
R0062	1	0	2	0	0	0	0	0	0	0	0
R0063	45	1	438	0	7	69	0	30	7	12	65
R0064	38	1	630	1	8	73	0	39	5	16	87
R0065	8	0	12	0	0	4	0	0	0	0	0
R0066	0	0	3	0	0	2	0	0	0	0	0
R0067	25	2	459	0	0	84	1	47	7	20	48
R0068	7	0	38	0	1	3	0	4	0	1	3
R0069	0	0	0	0	0	0	0	0	0	0	0
R0070	124	5	496	0	8	45	0	84	32	5	143
R0071	0	0	231	0	0	49	0	69	22	0	32
R0072	20	0	311	0	2	23	0	18	5	8	17
R0073	0	0	4	0	0	1	0	1	0	0	0
R0074	18	0	209	0	2	12	0	24	5	8	71
R0075	0	0	0	0	0	0	0	0	0	0	0
R0076	2	0	1136	0	0	78	0	83	8	9	165
R0077	0	0	0	0	0	0	0	0	0	0	0
R0078	32	1	425	1	10	69	1	24	6	9	42
R0079	43	0	196	0	3	18	0	17	1	6	44
R0080	0	0	0	0	0	0	0	0	0	0	1
R0081	4	0	62	0	1	11	0	7	0	1	10
R0082	16	0	382	0	0	105	0	10	11	12	92
R0083	52	3	496	0	5	49	2	71	28	11	130
R0084	1	0	0	0	0	0	0	0	0	0	0
R0085	0	0	48	0	1	23	0	2	1	1	0
R0086	10	0	216	0	1	19	0	10	2	9	25
R0087	0	0	0	0	0	0	0	0	0	0	0
R0088	13	0	59	0	0	8	1	1	1	5	15
R0089	18	0	205	0	5	33	0	16	3	3	32
R0090	7	0	90	0	0	8	0	2	0	2	13
R0091	38	2	180	0	2	22	0	77	1	1	89
R0092	60	0	515	0	10	81	0	35	10	25	127
R0093	15	0	61	0	0	9	0	8	0	0	9
R0095	5	0	25	0	1	1	0	1	0	1	5
R0096	31	0	275	0	1	25	0	20	1	24	48
R0097	0	0	4	0	0	1	0	0	0	1	1
R0098	1	0	34	0	0	0	0	0	0	1	0
R0099	7	0	34	0	3	9	0	0	0	1	10
R0100	40	0	241	0	2	23	0	30	3	8	75
R0101	18	0	172	0	0	20	0	15	2	5	37
R0102	1	0	0	0	0	0	0	0	0	0	0
R0103	1	0	3	0	0	3	0	0	0	0	0
R0104	46	2	575	0	13	53	1	36	11	12	134
R0105	32	0	158	0	0	29	0	14	5	3	72
R0106	0	0	18	0	0	1	0	1	0	0	1
R0107	48	0	180	1	1	13	1	29	1	14	60
R0108	56	0	373	0	0	54	0	9	3	5	76
R0109	1	0	43	0	0	10	0	1	1	0	0
R0110	6	4	82	0	1	7	0	5	4	0	23
R0111	0	0	18	0	0	4	0	1	0	0	7
R0112	0	0	1	0	0	0	0	0	0	0	0
R0113	0	0	0	0	0	0	0	0	0	0	0
R0114	10	0	29	0	0	14	0	1	0	1	13
R0115	0	0	0	0	0	0	0	0	0	0	0
R0117	0	0	6	0	0	1	0	0	0	0	5
R0118	0	0	8	0	0	4	0	0	0	0	1
R0119	0	0	18	0	0	2	0	1	1	1	0
R0120	4	1	43	0	1	7	0	0	0	1	6
R0121	13	0	137	0	1	10	0	8	6	0	65
R0122	3	0	26	0	0	3	0	3	0	0	2
R0123	0	0	0	0	0	0	0	0	0	0	0
R0124	3	0	14	0	0	2	0	1	0	0	5
R0125	0	0	3	0	0	0	0	0	0	0	0
R0126	14	1	70	0	0	7	0	3	2	2	16
R0127	2	0	15	0	0	4	0	1	0	0	1
R0128	56	0	313	0	4	13	0	22	3	20	80
R0129	8	3	114	0	0	11	0	12	1	4	32
R0130	0	0	6	0	0	0	0	0	0	0	0
R0131	59	0	325	0	3	39	0	27	8	15	101
R0132	26	0	300	0	0	69	1	30	2	2	43
